번호,이름,발매일
1,푸른 눈의 백룡,2003-12-09
2,홀리 엘프,2003-12-09
3,외눈 거인,2003-12-09
4,베이비 드래곤,2004-03-09
5,가고일,2003-12-09
6,그렘린,2003-12-09
7,요새를 지키는 익룡,2003-12-09
8,きのこマン,정발안함
9,ヘルバウンド,정발안함
10,암흑의 드래곤왕,2004-03-09
11,剣竜,정발안함
12,바바리안 2호,2004-03-09
13,타이혼,2003-12-09
14,황소마인,2004-03-09
15,화염의 검사,2003-12-09
16,시간의 마술사,2004-03-09
17,봉인된 자의 오른쪽 다리,2003-12-09
18,봉인된 자의 왼쪽 다리,2003-12-09
19,봉인된 자의 오른쪽 팔,2003-12-09
20,봉인된 자의 왼쪽 팔,2003-12-09
21,봉인된 엑조디아,2003-12-09
22,데몬 소환,2003-12-09
23,사악한 웜 괴물,2003-12-09
24,저주받은 하인,2003-12-09
